target,source
Itu wesen?,Is it wesen?
Kita akan tercatat dalam sejarah sebagai orang yang mengalahkan Pemburu Penyihir.,We're going down in history as the ones who beat the witch hunter.
Kenapa kau terus menggangguku ?,Why do you keep pestering me?
"aku tidak melarang untuk mengencani dia, aku hanya bilang pelan-pelan saja kau yang bilang untuk melanjutkan / sekarang aku bilang pelan-pelan saja apa maksudnya?","Listen, I'm not saying don't date the guy, I'm just saying take it slow. - You are the one who said to go for it. - Now, I'm saying take it slow."
- Itu adalah bagaimana Anda menemukan membalaskan kematian kami?,And this is how you seek to avenge our fallen?
(tertawa),(laughs)
Apakah ada obat?,Is there a cure?
"Ya, saya akan memberitahu Anda.","Yes, I'll tell you."
"Sekarang bagian yang terbaik, ...demi berbagi semua yang dia bisa dengan dunia,","Now the best part, in the interest of sharing everything she can with the world,"
Ayo.,Come on.
Mereka gigitan seperti tambang.,Those bites are like mine.
"Letnan, entri dalam Anugerah Dixon jurnal ... 'tis bukan teka-teki atau sajak kanak-kanak.","Lieutenant, the entry in Grace Dixon's journal... 'tis not a riddle nor a nursery rhyme."
Tetap sertakan Axe di O.P. 1 ?,Keep Axe at O.P. 1?
"Selamat Datang di Pittsburg, di mana arena sudah penuh sesak akan menonton ""Grudge Matcht""",I'm Jim Lampley and welcome to Pittsburgh where a raucous sold-out crowd has assembled for this unique grudge match.
Ini pagi.,It's morning. It's morning!
Aku tak mengenalimu lagi.,I don't know you any more.
"Aku mengunjungi biara di Frankia, di luar Paris.","I was visiting a monastery in Frankia, outside of Paris."
- Apa itu?,- What was that?
Aku baru selesai membaca Manusia Binatang.,Just finished reading The Human Animal.
Apakah kau mampir untuk menjenguk Bo dalam perjalanan pulangmu?,Did you stop and see Bo on your way back?
"Athena, Dewi Cinta.","Athena, goddess of love."
Dan lingerienya untuk perempuan yang tak pernah kulihat lagi.,And the lingerie is for a woman I'm no longer seeing.
"Bukankah begitu, Winston?","Don't we, Winston?"
"Astaga, keparat itu akhirnya diatasi!","Hell no, that buster got deal with, homey!"
"Cukup Bob, cukup.","Okay, Bob. That's it."
Apa yang terjadi?,"What happened, Gwen?"
"Kau tahu tentang Eve, kan?","- You know about Eve, right?"
Raja2 Spanyol dan Portugis terhina karena surga itu miskin jarang menyenangkan bagi mereka yang memerintah.,The Spanish and Portuguese kings are offended because a paradise of the poor is seldom pleasing to those who rule.
"- Tinggallah, aku mohon.","- Stay, please."
Ke kiri!,Go left!
Tahan tembakanmu.,Hold your fire.
"Pla, kau bajingan...","Pla, you bastard..."
Ku pikir aku bahagia ditempat ku sekarang.,I think I'm happy where I am.
"Lagi pula ,","Anyway, uh..."
"Bukan begitu, Jack?","Huh, Jack?"
Apa?,What?
Bantu aku keluar dari sini!,Somebody help get me out of here.
SETELAH koma THE ...,AFTER THE COMA...
"Apa yang kau punya untukku, Clarence?","What you got for me, Clarence?"
Apa kita?,What's ours?
"Dia cuma duduk disana, sambil menatap foto ibuku dan aku.","But he was, um, just sitting there, staring at a picture of me and my mum."
Dia bilang dia sedang dalam perjalanan.,He said he was on his way.
- Kau akan bicara kepada kita?,- yöu will talk to us?
"-Kamu punya 17 tahun kesempatan , Henry dan 17 tahun aku menunggumu untuk mengambilnya.","-You have had 1 7 years of chances, Henry and I've had 1 7 years of waiting for you to take them."
-Melihatmu aku hanya berpikir - -berpikir apa?,-Looking at you I simply thought-- -Thought what?
Kemarilah.,Come.
Seseorang yang kau cari?,A person you're looking for?
- Kau mau dengar cerita dari sisiku?,-Do you want to hear my side of it?
Dia menyuruhku untuk membantu kalian memasuki kastil.,She sent me to help get you into the castle.
Kami melakukan apa yang harus kami lakukan.,We did what we had to do.
Dan kami akan menangkap mereka.,And we'll catch them.
Ayo!,Come on!
- Ow!,- Ow!
Aku belum menemukan gadis yang cocok.,I don't get to meet nice girls.
"Terima kasih, Dusty.","Oh, well, thank you, Dusty."
Ini langkah ketiga atau kelima ya?,Is this step three or step five?
"Pendapat Anda, Kapten.","Your opinion, Captain."
Ya.,Yeah.
Aku telanjang.,I was naked.
Atas.,Up. Back.
Tidak.,No.
Mereka menangkapnya.,They got him.
Giring mereka masuk.,Draw them in.
Ya..benar..,"Yeah, I did."
Dia adalah pada sifat suka berperang tersebut.,He is on the warpath.
Seperti cerita anak yang hebat. Mengandung kebenaran dalam mitos.,"Like all great children's tales, it contains truth within the myth."
Keluar alat kit Anda.,Get out your tool kit.
Kita bertemu di rumahku siang hari pada hari Kamis untuk membahasnya?,Shall we meet at my house at noon on Thursday to discuss it?
"Aku sudah lihat ada orang yang mengalami ini ketika kau gagal, tapi ini keluargaku.","I've watched other people suffer the consequences of your action, but this is my family."
Apa kau bilang seksi?,- Did you say sexy?
Bagus.,Wow. Nice.
Namun entah bagaimana belum juga hamil.,not pregnant.
Amerika-lrlandia.,Yankee-Irish.
"Kamu peroleh Kung Fu misterius, l memperoleh pengetahuan.","You got mysterious Kung-fu, I got science."
Nah?,Well?
Ia mendapat pil untuk setiap warna pelangi.,He's got a pill for every color of the rainbow.
"Kau bahagia, kan?","You're happy, aren't you?"
"Klaus, sedang apa kamu disini?","Klaus, what are you doing here?"
Kau percaya saja padaku.,You just have to trust me.
"Cantik, pendaki gunung, juga lucu dan mendunia.","Gorgeous, a mountain climber, yet funny and down-to-earth."
"Shane dapat memberitahumu apa yang terjadi dengan orang Ryker, Chris.","Shane can tell you what happened with Ryker's man, Chris."
- Ned!,- Ned!
- Ya.,- Yes.
"Jika butuh sesuatu, beritahu kami.","If there's anything you need, just let us know."
Aku minta maaf tentang pekerjaanmu.,I'm sorry about your job.
Panggil Sandhya.,Call Sandhya
Semua jalan sampai ke balai kota.,All the way up to City Hall.
"Mengapa tidak, teman.","That, my friend, you may."
Pergi begitu saja ?,Just leave?
"Semua ini menjadi lebih rumit. Bukan begitu, Dennis?","Things just got a lot more complicated, didn't they, Dennis?"
"Hei, kawan!","Hey, buddy!"
Aku menemukan mereka di sana dengan hacksaws.,I found them in there with the hacksaws.
"Jangan pergi, kakak.","Don't go, Orabeoni."
Kau yang harus menggunakannya saat mengalami masalah.,Use it when you are in trouble.
Maksudmu kau tidak bisa mempercayai orang-orang itu untuk melindungi aset dari bahaya ?,You're saying you can't trust those guys to protect an asset in danger?
"Hei, di mana Anda akan pergi?","Hey, where are you going?"
"Kau juga, karena masalah itu.","Neither do you, for that matter."
lelah dan tidak mau berbagi tempat tidur dengan seorang wanita.,I'm a little tired to have a woman share my bed.
Ayo!,Come on.
- Kita diberi tahu kau akan menerangkan pada kita.,- We were told you would brief us.
"kau bisa melawannya kalau mau. pesta ini bagian dari keluarga Gilbert ya, kau bilang kau tahu banyak tentang keluarga ini.","You can fight it if you want, but it's part of being a Gilbert. Yeah. You mentioned you know a lot about the family."
"Jika tidak suci Gangga ada di masa depan, seluruh dunia akan tampak seperti itu telah menjadi seorang yatim piatu.","If the holy Ganges is not in existence in the future, the entire world will seem like it has become an orphan."
Mereka adalah perintah saya.,Those are my orders.
Kau yang bersikap konyol.,You're being ridiculous.
Kamu tidak tahu?,You don't know?
"Kau tidak boleh terlalu dekat dengan dirimu..., ke James.",You can't get too close to yourse... to James.
Noriko tidak mungkin bunuh diri.,Noriko couldn't commit suicide.
Ya.,"Yes, you have."
Ibu !,Mummy!
Dan itu harus nyaman!,And it must be comfortable!
Pada kasus per kasus.,On a case by case basis.
Jemputlah dia nanti.,Return for him then.
Tapi tidak semua dijalankan sepenuhnya online.,But not everything is run completely online.
"Aku lebih suka membunuhmu, selesailah.","Personally, I'd rather just kill you and call it a day."
"Tenang saja ada, anak besar.","Take it easy there, big boy."
Itu dibuat dari tembaga.,It's made from copper.
"Jadi, siapa yang Anda bekerja dengan di New York itu?","So, who you working with in New York then?"
"Sama-sama menang, kan?",Huh? Win-win!
- Bye .,- Bye.
- Kuharap bukan karena makanannya.,- I hope it's not something you ate.
"Bila ingin nongkrong dengan orang... yang tak berurusan dengan fitting atau mencicipi kue... atau latihan makan malam pernikahan, hubungi aku.","Tell you what. Anytime you wanna hang out with somebody... who doesn't need you to take them to a fitting or a cake-tasting... or a coed mojito and burrito rehearsal dinner, just give me a call."
Tunggu...,Wait...
Keluar dari rumah dengan Anda.,Out of the house with you.
/ Kita akan cari tahu.,- We're gonna find out.
Kurasakan itu!,I felt that.
Arlo.,Arlo.
Mereka pasti lapar.,They must be hungry.
"# No hibernation, no","♪ No hibernation, no"
"Tapi aku pikir ini akan menjadi awesome untuk Anda, untuk pertumbuhan pribadi, hanya untuk memukul solo satu ini.","But I think it's gonna be awesome for you, for personal growth, just to hit this one solo."
"Apa yang kau lakukan, Jack, huh?","What do you do, Jack, huh?"
"-Di Kyoto, adakah tikus disana?","- In Kyoto, aren't there any mice or rats?"
Mereka akan makan kau jika kau tidak waspada.,They'll eat you if you don't watch out.
"- Tenang, kutu buku.","- Calm down, bookworm."
"Dan di sudut kiri ... bercelana gelap dengan garis putih ... dari St Thomas, Virgin Islands ... juara kelas menengah dunia, Emile Griffith!","And in the left corner... in the dark trunks with the white stripe... from St Thomas, Virgin Islands... the welterweight champion of the world, Emile Griffith!"
saya ingin tunai besar mengerti?,I got it! I WANT BIG CASH UNDERSTAND
Sad Spaz remaja ternyata fenomena global.,Sad spaz teen turned global phenomenon.
Yeah!,Yeah!
Kau harus tinggal.,You've got to stay.
Biarkan aku berbagi satu perumpamaan padamu.,Let me share with you a parable.
"Saya sangat terkesan. Pada kenyataannya, ini telah melampaui harapan saya.","I'm very impressed. ln fact, this has exceeded my expectations."
Kita berdua menginginkan Hasaan.,We both want Hasaan.
♪ Living all alone ♪,♪ Living all alone ♪
Umm...,That...
Hei!,To!
"Oh, benarkah Aku sangat percaya pada keluarga.","Oh, really? I'm a great believer in family."
Saya yakin Anda akan mengerti daging.,I was sure you would understand the meat.
Tapi aku sedang mengandung biji anakmu.,But I'm carrying your son's seed.
Yang kita butuhkan hanya pengalihan perhatian,All we needed was a diversion.
Sekarang dia berhutang pada kita.,Now he owes us one.
"Ya, OK, ""bro.""","Yeah, OK, ""bro""."
- Tidak,- No. - Yes.
"Jangan begitu, 2 menit lagi jam 4.",Don't be silly. It's two minutes to 4.
Kacau sekali./ Ya benar.,"- It's pretty fucked up. - Yes, it is that."
/ Aku hanya ingin pergi dari sini.,- I just wanna get out of here.
Maaf soal semalam.,Sorry about last night.
Bagaimana mereka akan bereaksi?,How are they going to react?
Kita hanya bisa sampai di sini.,It's just where we can't get.
- Ibu tak tahu.,- I don't know.
"Baik, Pak, lalu kemudian apa?","Okay, sir, but then what'?"
-Anda tidak akan kemana-mana.,- You're not going anywhere.
Apa kau yang menidurinya atau dia yang menidurimu?,Did you fuck him or did he fuck you?
Ini pengaturan ?,It's a setup?
Kau bilang apa?,- Right now.
Dia pasti bercanda.,They must be kidding me.
kau memiliki bakat untuk menyelamatkan hidupku.,You have a knack for saving my life.
Tapi aku butuh waktu.,But I need time.
- Apa yang terjadi disini?,"- Hey, what's goin' on here?"
Dia masih butuh banyak bimbingan.,He can be a handful.
"- Oke, jadi bicara padaku.","- Okay, so talk to me."
Atau tidak.,Or not.
- Kamu ingin merampok bank?,- You want to rob banks?
Baju Santa tua Ayah.,Santa suit. Santa suit.
Tidak ada manusia adalah di bukti.,No human person is in evidence.
Apa ini?,What's this?
"itu biasa. Transaksi 2,5 juta dollar.",It's very common in a $2.5 million transaction.
Dia seorang polisi.,He's a cop.
No,No.
Lihat siapa yang bangun.,Look who's awake.
Ini untuk menunjukan niat baik Menteri dan juga cintanya sebagai anak.,"Rather, it demonstrates the Prime Minister's filiat piety, and his love to his father"
Tak masalah.,You don't want
Kita hanya perlu beberapa lusin.,We only need a couple of dozen.
- Apa?,- What?
Sekarang pergilah dan tidak ada masalah.,Now get out of here. And no more trouble.
Maksudnya?,Means?
Jadi semuanya baik-baik saja-- dan dia makan jantung hewan-- sampai dia tiba-tiba ingin jantung manusia lagi.,And then everything's wine and roses -- and animal tickers -- until he gets the hankering for human again.
Tidak persis penggemar terbesar kami.,Not exactly our biggest fan.
Kau tahu kau hebat.,You know you bad!
♪ Say what you need to say ♪,♪ Say what you need to say ♪
- Uh huh.,- Uh-huh.
- Buka,- Open-
Kura - kura itu perlu perlindungan.,That turtle needs protection.
Aku ingat saat ayahku biasanya mengalahkanku.,I remember when my father used to beat me.
Aku memberi kesempatan padamu untuk membantuku.,I was granting you the opportunity to help me.
"Apalagi yang bisa kuperbuat, Morrow?","What choice so I have, morrow?"
"Ah, indah sekali.","Ah, that's great."
"Kekasihku, dia seorang Evo.","My boyfriend, he's an Evo."
"Segala hal telah terjadi padaku, kini aku ditembak anak-anak!",Everything happens to me. And now I'm shot by a child!
Tidak?,No?
Sayang apa yang akan ke Amerika untuk?,Darling what are you going to America for?
"Sava, bagaimana bisa kau menjual makanan jika kamu sendiri tak tahu rasanya?","(SERBO-CROATIAN) Sava, how can you sell the food if you don't know what it tastes like?"
Maju.,Move.
Got it!,Got it!
"Master, kau terpilih untuk ikut R2F!","Master, you've been selected for R2F!"
"Chance dan Winston adalah , eh ...","Chance and Winston are, uh..."
Jalan!,Go! Go!
Aku pasti akan menang kali ini.,I will win this time
Dan mungkin membawa malapetaka yang lebih buruk.,And maybe bring even worse calamity.
"Ya, keadaan berubah.","- Well, things change."
Baik.,Fine.
Waktu kubilang kalau Ezra itu tampan..,When I made that comment about Ezra being cute...
"- Aku tidak tahu, hitung sendiri.","- I don't know, count it."
"Kita harus mengungsi kabupaten, kita harus kembali ke permukaan.",Everyone needs to evacuate the area... - and return to ground level. - Why?
Perjanjian Anda?,Do we have a deal?
"Anda sedang mendengar ""'Mari Berbual"", di tayangan perdana dunia, podcast a cappella yang boleh dimuat turun.","You're listening to ""'Let's Talk"", in front of the world's premier, downloadable a cappella podcast"
Kau benar sekali.,Damn right.
{\b1\cH00ffff}(Suneo) bermain dengan anak-anak.,"fontcolor="" # FFFF00""{\b1\c H00ffff }(Suneo ) playing withchildren ."
Sidik bibir!,Lip Print!
"Kita bisa nengirim email ke alamat itu, tetapi kita harus melakukannya dari tempat yang tak dapat dilacak.","We can send emails to those addresses, but we should do it from someplace that can't be traced."
Dia tidak bisa memahami perbedaan antara Mencintai dan jatuh cinta dengan seseorang.,He couldn't really understand the difference between loving someone and being in love with them.
setiap keyakinan yang adil dan cinta adalah perang.,Εverything is fair and love is war.
"Ini adalah Omar, ini Waj dan ini adalah Hassan Malik.","This is Omar, this is Waj and this is Hassan Malik."
"Ya, terbuka dan...","Yes, open and..."
Seorang laki2 bisa bertarung!,A man can fight!
Ini bukan dia,It's not him
Anda harus tahu beberapa fakta dan tidak mengambil risiko bodoh.,You should know some facts and not take foolish risks.
"Tidak Oh, tidak","No. Oh, no."
Kau begitu berani.,That is so brave of you.
Piipa bagus.,Good pipe.
Aku tidak mengerti.,I don't understand.
Kita hampir sampai.,We're almost there.
Putriku tersayang.,My sweet... child.
Dan Tim yang bertahan di semifinal adalah. Tim HD!,The fast crew standing in the semifinals is the HD Crew!
Aku takut kalian yang tiba terakhir.,I'm afraid you guys were the last to arrive.
Kau bisa saja menyimpan uang itu.,"You could have kept that money, you know."
Aku tidak meminjam apa-apa darimu.,Not lend you anything.
"Ya, Tuhan.","Oh, my God. Wake up."
"Oke, oke, oke.","All right, all right, all right."
Apa? Wow!,What--wow!
Kenapa kau mengubur semua harta ini ?,Why are you burying all this treasure?
Kata-katamu menyihirku...,"""Your talk casts a spell."""
"Kau inginkan aku, brengsek?","You want a piece of me, you sons of bitches? ! Come and get me!"
"Sekali lagi, bisa kau katakan pada pengadilan apa hubunganmu dengan Vic Bedford?","Again, can you tell the court... the nature of your relationship with Vic Bedford?"
Yang penting adalah kita tidak akan kehilangan rumah.,What matters is we're not going to lose the house.
Pergi kau.,Away with you.
- Bagus.,- Great.
/ Mereka tak akan tahu.,They're not gonna know.
Aku sudah menjalani hari-hari buruk.,I've had worse days.
Itu mirip saat ayah kehilangan keperjakaanku.,"Well, it's only appropriate that I tell you the story about when I lost my virginity."
Maka siapakah pria yang terbang itu?,Then who was that guy that flew away?
Tempatku diambil.,My place got taken.
Kali ini beda.,This is different.
Kejar mereka!,Go after them!
Saya memilih untuk percaya pada Wali.,I choose to believe in the Guardians.
Hanya ada satu sabuk pengaman.,"Well, I have the only seat belt here."
Katakan padanya kau mengunciku di sini.,Tell her you locked me up down here.
Petualangan menungguku!,Adventure's out there!
Yah... itu dia yang sedang dibicarakan.,"Oh. Well, speak of the handsome devil."
Oh.,Oh.
Dengan tubuh yang sangat ramping dan wajahnya terlalu lembut untuk seorang pria...,With a body so slim and face so tender for a man...
Itu bukan ide yang bagus.,- That doesn't seem like a good idea.
"Boing, Boing, Boeun.","Boing, boing, Boeun."
Sudah kelewatan.,This has gone way too far.
Orang ini menutupi sumbernya.,This guy's shrouding his sources.
Lepaskan aku.,Spare me.
Siseraku berbaring tenang di tenda. Teridur.,"My Sisera lay quiet in the tent, slumbering."
"- Berkat kamu, Dimana laksamana?",- My thanks to you! Where is the admiral?
"Um, berapa banyak yang telah Bruce katakan padamu Tentang Alison?","Um, how much has Bruce told you about Alison?"
- Entalah.,- I don't know.
"di sini di kota Delhi , di mana tinggal besar - hati","here in the city of Delhi, where the large-hearted dwell"
- Kita tak punya waktu.,- We don't have time.
Itu kebodohanku.,It was just stupid.
kau mau krim dan gula?,You want cream and sugar?
Kutanya kau sesuatu.,Let me ask you something.
"Ayo kita pulang, Maddy.","Let's go home, Maddy."
- Belum terkonfirmasi.,- Unconfirmed.
Aku dengar banyak tentangmu.,I've heard a lot about you.
"Dia juga memanggil kita ""orang aneh.""",He called us freaks.
Kau kenal aku.,You know me.
Sebagian tembakan juga harus pertimbangkan lengkungan...,Some shots you'll even have to take the curvature of the earth in with the...
- senang bisa melihatmu lagi.,Yeah-eah-eah. - It is good to see you.
"Ayo, lakukanlah!","Go on, do it!"
{\cH5bffff}Anda seorang petugas besar.,You will be of great service.
Aku yang melakukan penukaran.,I'll make the exchange.
"Oh, Anda orang yang keluar dari pikiran sialan Anda.","Oh, you people are out of your fucking minds."
"Dan mereka berusaha mencari jalan untuk menghentikannya, untuk menghapus kebusukan pada lingkungan mereka, seperti mata-mata yang heroik yang berusaha untuk menggulingkan Jenderal Howe karena darahnya mengeringkan kota New York.","And they sought to stop him, to remove a blight on their community, just like the heroic spies who sought to topple General Howe as he bled dry the city of New York."
Kenapa kau memaksaku?,Why you picking on me?
Biar aku saja!,Give me now!
"Atom terhuyung - huyung, bingung dan ling - lung di ring !","Atom is stumbling around the ring, apparently disoriented and dazed!"
Kenapa dia?,First-time listener.
"Masih baru sekali,","You know, the 'do's' and 'don't's', the 'in's' and 'out's', the 'how's' and and 'how not to's'!"
Dan sekarang?,And now?
Aku sarankan kita mencoba dan bertemu di tengah.,I suggest we try and meet in the middle.
Menjauh dariku.,Get away from me.
Pernahkah kau menulis sesuatu tentang Pelaut ?,Have you ever written anything about a sailor?
"Dan kalau aku mendengar seseorang berkata kalau mereka menyukai tomat heirloom,...","And, you know, if I hear one more person say that they love heirloom tomatoes,"
Aku bisa mengeluarkan suara keras sama sepertimu. Bahkan lebih.,"I can belt just as good as you, better even."
"- Kemarilah, tidak apa-apa.",- What the fuck was that?
Butuh kita berdua Butuh perhatian,It took two of us It takes care
Aku?,I am?
"Hei, bung.",Wood.
1000% peningkatan jangkauan.,1000% increase in range.
Kalian tak punya hak di sini!,You have no right here!
"Lalu ia berkata, ""Itu salah, Pak.","Then he said, ""That's wrong, sir."
Aku akan membutuhkan beberapa jam.,I'll need a couple of hours.
Perusahaan mainan apanya.,"Toy company, my ass."
"Jika saya ditakdirkan untuk kehilangan sihir saya kepada Anda, apa lagi yang bisa saya katakan?","If I'm destined to lose my magic to you, what else can I say?"
Aku sangat senang mendengar Daniel .akhirnya bercerai dengan Emily.,"Well, I was just happy to hear that Daniel has finally broken his pattern with Emily."
"- Eagle Six, apa statusmu?",Why did the coach make him captain instead of me?
Aku menemukan sesuatu yang ingin kau ketahui.,I found out something you might wanna know.
"Biarkan aku tahu apa yang sedang terjadi, siapa yang keluar.","Let me know what's going on, who got took out."
Bagaimana kau bisa kehilangan Quinjet itu?,How do you lose a damn Quinjet?
Yeah.,Yeah.
Akan berubah.,Will change.
"Harian mendapatkan 2800, 1200 untuk memecahkan kaca, 1500 untuk melompat, 1800 dengan melakukan jatuh, Lembur setelah jam enam, mengambil dan menurunkan mereka, tiga jenis makanan sehari-hari, dua jenis Bebas sayuran, teh, kopi, biskuit, makanan...","Daily remuneration of 2800, 1200 for breaking the glass, 1500 for a jump, 1800 by doing the falling, double call sheet after six, pick up and dropping from them, three varieties of snacks daily, two varieties of nonveg, Tea, Coffee, biscuits, snacks.."
Tunggu!,WAIT!
"Tapi sebenarnya, aku merasa tidak aman ama manusia.",But the truth is I don't feel safe around people.
Coba katakan.,Try me.
hanya salah satu seorang pembimbing-- bernama Danny.,Just one of my counselors-- big dude named Danny.
Terasa lebih baik sekarang?,Feeling better now?
Atau Phil./ Baik.,Or Phil's. -Okay.
Dan jangan buat aku terlambat juga.,And don't make me late either.
"Itu yang sebenarnya terjadi pada putri kita, Matthew.","That's what happened to our daughter, Matthew."
Menurutmu mereka menangkapnya?,You think they got her?
"Sementara itu,","In the meantime,"
Mm.,Mm.
Bagaimana Anda menemukan kami?,- How did you find us?
Tentu.,Sure.
Itu menurutku.,I'm just saying.
Dragovic menculik gadis muda di Asia Tenggara. Membawa mereka ke Europe kemudian menjualnya keseluruh negara,"Dragovic kidnaps young girls in South East Asia, runs them through Europe then sells them all over the globe."
"Oh, itu panas!","Oh, it's hot!"
"Papan Iklan nya, Guy.","The sign, Guy."
Di salah satu rumah boneka.,One of the dollhouse.
Dalam upaya mempertahankan persahabatan kita,In the interest of preserving our friendship...
- Hi _BAR_ -.,- Hi.
Itu lucu dlm bahasa Inggris,It's funny in English
"Oh, ya Tuhan.","Oh, my God."
"Guys, dia Kido.","Guys, he's Kido."
"Teleponmu tidak diangkat, kau tidak di kantor juga.",You're not answering your phone and you aren't at the office.
Hwan - gyu ?,Hwan-gyu?
"Salah satu yang punya nama,",_
Keluar.,Get out.
Juga harus cari Makhluk itu,It should also be looking creature was
"Entah bagaimana foto itu dan semua bukti di ruangan ini muncul di Drudge Report atau Wikileaks, dan lalu kau menyadari dirimu tertimpa masalah.","Somehow that photo and all the evidence in this room show up on Drudge Report or goddamn Wikileaks, and then you've got yourself a real problem."
Karena Anda lebih unggul dari dia.,Because you are superior to him.
Beberapa dari kalian mungkin akan mati tapi itu adalah pengorbanan yang dapat kulakukan.,"Some of you may die, but it's a sacrifice I'm willing to make."
Apa kau masih haus darah Kurcaci ?,Do you still thirst for Dwarf blood?
"Kupikir kau selanjutnya, Bung.","I'm thinking you should be next, mate."
Lepaskan aku.,Just let me go.
"FrankIy, adalah satu nuansa itu Iost di atas/terhadap saya.","Frankly, it's a nuance that's lost on me."
Lekaslah sembuh.,Hurry and get well.
Tuan McMurphy Mengatakan sesuatu kemarin tentang World Series.,Mr. McMurphy said something yesterday about a World Series.
Dia terlihat malu.,She looks mortified.
Merlyn mungkin saja mencoba menghubungi Thea.,Merlyn may try to contact Thea.
"Terkadang, aku berpikir kau suka dipukuli",Sometimes I think you like getting punched.
Aku tahu dimana Wind berada,I think I know where Wind is
Aku tidak mengerti,I don't understand.
"Dengar, aku harus kerja.","Listen, I got to get to work."
"-Tidak, 32.","-No, 32. -Thirty-two."
Kau tak ingin melihat itu lagi?,Would you not see it so again?
Aku tidak sekedar bicara.,I am not just saying it.
Bro! Kita tidak berkompetisi. Kau ingat?,"Bro, we don't compete, remember?"
"Maksudku, sirkulasi hampir nol.","I mean, almost zero circulation."
Apa yang terjadi?,What the hell is happening?
-Cepat.,-Hurry.
"° ¡AoA ""½Ã¿ £ AU · Á",They wouldn't even tell Sarah how he died.
Aku takkan pergi.,I've made up my mind I'm not leaving.
"Maksudku, kita semua percaya padamu.","I mean, we all trusted you."
Tidak!,No!
Aku ada rencana lain. Haruskah aku menundanya sampai besok?,I have plans.
"Berada didua tempat dalam waktu bersamaan, pakai tato.","Be in two places at once, get a tattoo."
"Lihat, lihat, ini kamu.","Look, look, it's you."
"""Ini adalah momen yang tak bisa kulupakan""",This is the moment I shall never forget
"""Saat Dalam Rahim Mereka Anak Kembar"".",Within the uterus they still were twins.
- Apa maumu?,{\cHFFFFFF} - What do you want?
Apa yang akan kau perbuat?,What will you do?
- Tempat ini berantakan. - Tidak masalah.,The place is a little untidy.
Mungkin akan hanya membuatnya merasa lebih buruk.,"I don't, actually. It'll probably just make him feel worse."
"Yah, aku sedang mengerjakan di tempat yang berbeda","Well, I'm in a different line of work."
Apakah Anda mengatakan tidak?,Are you saying no?
Seseorang menghipnotis mereka kesini.,Someone compelled them to be here.
Aku tahu.,I know.
Tapi apa yang akan kau lakukan jika Lana muncul di depan pintumu? Atau Ayahmu?,"But what are you gonna do if one day Lana shows up on your doorstep, or your dad?"
Apakah kau ingin mencoba?,Do you want to try?
Pertanyaan kedua.,Second question.
Peter.,Peter.
"Minggir, beri jalan!",Get out of the way!
Aku-aku hanya berusaha untuk bersaing dengan Anda.,I - I was just trying to keep up with you.
Cepat bergerak.,Run.
"Jika dia mengenaliku, dia takkan menyakitiku.","If she recognizes me, she doesn't let it show."
- Salah satu kesukaanku.,It's one of my favorites.
"Maaf, aku tidak bisa.","Sorry, I'm afraid I can't."
Aku ingin membuat kesan yang baik kepadanya.,I want to make a good impression on him.
- Apa?,- What?
Ayah?,Dad?
Santanico Pandemonium.,Santanico Pandemonium.
Kau kabur dari reaper-mu?,You ran away from your reaper?
Apa kau bisa anggar?,Do you do fencing?
Oke?,Okay?
"Tunggu sebentar, eh?","Give it a rest, eh?"
Mungkin tahu sesuatu.,He may know something.
Ini...,This...
"Tenanglah, nona.","Calm down, dear lady."
Menonton versi teater nyata dan kemudian kembali dan menonton satu ini.,Watch the real theatrical version and then come back and watch this one.
Ini kepala satpam baruku Pak William wright.,"This is my new dean of security, mr. William wright."
"Oh, ya?","Oh, yeah?"
Tempat yang nyaman ini.,"Nice place, this."
"Apapun yang terjadi, kita akan menanganinya...","Whatever happens, we'll handle it..."
"dan sekarang, dia telah mulai mencintaimu lebih dari pooja mencintaimu' sebentar lagi, dia akan menggantikan tempat pooja!","And now, she has begun to love you more than Pooja' Very soon, she will take Pooja's place!"
Baik.,Then you do that.
Ambilkan peledaknya.,Blow the doors open!
Suntik sudah siap.,Suction it up.
"-Lalu dia seperti, ""Apa?""","-Then he was like, ""What?"""
Ibuku menulis surat.,Mother has written a letter.
Berhenti membohongiku.,Please stop lying to me.
"Baiklah, Bulldogs.","All right, Bulldogs."
Nn. Mars... mungkin kau akan tertarik dengan Cincin Cina Berkait.,Miss Mars... perhaps you would be interested in the Chinese Linking Rings.
Tidak omong kosong.,No shit.
"Lihat, masih ada yang lain.","Look, there's another steam vent. Okay."
!,!
tidak sehebat Silas.,Nothing compared to Silas.
Sudah kukatakan padamu --,I told you --
Potong talinya sekarang!,Cut the falls now!
- Apa yang akan Anda dapatkan dari menganiayanya?,- What will you get out of abusing him?
"Things happen in the field, but...","Things happen in the field, but..."
Aku akan turun.,I'm going back down.
Masuk.,Get in.
!,!
Mengerti?,All right?
"Berikutnya, aku akan lemparkan petir tepat di wajahmu.","Next time, I shall hurl a lightning bolt right in your face."
"Dansekitarduabelas menit ke dalamnya, saya Hanya sekarat.","Andabouttwelve minutes into it, I was just dying."
Aku telah menunggumu semalaman. / Ada satu hal kecil ...,- I've been waiting for you all night. - There was one little thing...
"Aku tak menyalahkanmu, Lionel.","I don't blame you, Lionel."
"Itu benar, mereka memang begitu.","Yeah. That's true, actually, they are."
Wah.,Wow.
Ayo.,Come on.
Kau mengerti?,Do you understand?
